书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
经典常谈朱自清（《语文》推荐阅读丛书） 人民文学出版社,http://img3m4.ddimg.cn/80/26/29449214-1_l_10.jpg,167,96.4%,朱自清,2022-08-01,人民文学出版社,¥10.00,¥20.00,5.0折,¥12.00,http://product.dangdang.com/29449214.html
真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,http://img3m3.ddimg.cn/91/10/29474173-1_l_11.jpg,251296,100%,房琪kiki,2022-09-28,北京联合出版有限公司,¥37.30,¥49.80,7.5折,¥34.86,http://product.dangdang.com/29474173.html
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg,2028604,99.8%,刘慈欣,2010-11-01,重庆出版社,¥64.10,¥93.00,6.9折,¥39.99,http://product.dangdang.com/23579654.html
你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,http://img3m1.ddimg.cn/46/7/29460961-1_l_11.jpg,117446,99.9%,"卢思浩 著,博集天卷 出品",2022-09-26,湖南文艺出版社,¥24.90,¥49.80,5.0折,¥33.99,http://product.dangdang.com/29460961.html
长安的荔枝,http://img3m5.ddimg.cn/54/34/29470275-1_l_1.jpg,47609,100%,"马伯庸 著,博集天卷 出品",2022-10-31,湖南文艺出版社,¥29.00,¥45.00,6.4折,¥26.99,http://product.dangdang.com/29470275.html
少年读史记（套装全5册）,http://img3m1.ddimg.cn/80/1/23778791-1_l_29.jpg,1270874,99.9%,张嘉骅,2015-09-01,青岛出版社,¥49.00,¥100.00,4.9折,¥29.99,http://product.dangdang.com/23778791.html
少年读徐霞客游记（游中国・地理启蒙，全3册；读万卷书，行万里路！当代著名地质学家、科普作家刘兴诗与古代伟大的旅行家、地理学家徐霞客穿越时空，神奇相遇，趣味解读多姿多彩的中国地理！）,http://img3m5.ddimg.cn/23/29/29122655-1_l_14.jpg,90383,100%,刘兴诗,2020-09-01,青岛出版社,¥49.00,¥100.00,4.9折,,http://product.dangdang.com/29122655.html
活着（余华代表作，精装，易烊千玺推荐阅读）,http://img3m3.ddimg.cn/23/25/29311943-1_l_34.jpg,951680,100%,余华  著 ，新经典  出品,2021-10-01,北京十月文艺出版社,¥31.00,¥45.00,6.9折,¥8.99,http://product.dangdang.com/29311943.html
我与地坛（纪念版）,http://img3m1.ddimg.cn/6/9/21055821-1_l_2.jpg,347150,99.8%,史铁生,2011-06-01,人民文学出版社,¥15.50,¥29.00,5.3折,¥9.99,http://product.dangdang.com/21055821.html
生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随机发货）,http://img3m5.ddimg.cn/37/23/29343835-1_l_18.jpg,411076,100%,莫言；读客文化 出品,2022-01-01,浙江文艺出版社,¥34.90,¥69.90,5.0折,¥27.99,http://product.dangdang.com/29343835.html
