书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
经典常谈朱自清（《语文》推荐阅读丛书） 人民文学出版社,http://img3m4.ddimg.cn/80/26/29449214-1_l_10.jpg,167.0,96.4%,朱自清,2022-08-01,人民文学出版社,¥10.00,¥20.00,5.0折,¥12.00,http://product.dangdang.com/29449214.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020172368""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",《经典常谈》一书，写作时间在1938到1942年间，于1942年出版。当时朱自清在昆明西南联合大学任教。  
真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,http://img3m3.ddimg.cn/91/10/29474173-1_l_11.jpg,251296.0,100%,房琪kiki,2022-09-28,北京联合出版有限公司,¥37.30,¥49.80,7.5折,¥34.86,http://product.dangdang.com/29474173.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559664464"", ""丛书名：YH0123456789""]","[[""图书"", ""成功/励志"", ""心灵与修养"", ""心灵/感悟""]]",  
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg,2028604.0,99.8%,刘慈欣,2010-11-01,重庆出版社,¥64.10,¥93.00,6.9折,¥39.99,http://product.dangdang.com/23579654.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""]","[[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""中国当代小说""]]",《三体》第73届世界科幻雨果奖获奖作品，银河奖特别奖，《三体3》轨迹奖长篇科幻小说！2017年世界雨果奖提名作品。  
你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,http://img3m1.ddimg.cn/46/7/29460961-1_l_11.jpg,117446.0,99.9%,"卢思浩 著,博集天卷 出品",2022-09-26,湖南文艺出版社,¥24.90,¥49.80,5.0折,¥33.99,http://product.dangdang.com/29460961.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787572608377""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",畅销5年增订本。你想要看到的那片风景和想要遇到的人，终将会与你相遇，在你成为自己的路上。随书附赠卢思浩致读者信+封面同款海报+明信片+文笔挑战卡+书签。  
长安的荔枝,http://img3m5.ddimg.cn/54/34/29470275-1_l_1.jpg,47609.0,100%,"马伯庸 著,博集天卷 出品",2022-10-31,湖南文艺出版社,¥29.00,¥45.00,6.4折,¥26.99,http://product.dangdang.com/29470275.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787572608582""]","[[""图书"", ""小说"", ""历史小说""]]",马伯庸“见微”系列 历史短小说口碑代表作。一骑红尘妃子笑，“有”人知是荔枝来。“就算失败，我也想知道，自己倒在距离终点多远的地方。”随书附赠“荔枝鲜转运舆图”。  
少年读史记（套装全5册）,http://img3m1.ddimg.cn/80/1/23778791-1_l_29.jpg,1270874.0,99.9%,张嘉骅,2015-09-01,青岛出版社,¥49.00,¥100.00,4.9折,¥29.99,http://product.dangdang.com/23778791.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787555225560"", ""丛书名：少年读史记""]","[[""图书"", ""童书"", ""中国儿童文学"", ""经典名著少儿版""], [""图书"", ""童书"", ""11-14岁"", ""文学""], [""图书"", ""童书"", ""历史故事""]]",精巧32开本。荣获第六届中华优秀出版物奖 ；史学、文学、哲学、国学一次到位，台湾著名儿童文学作家张嘉骅倾力打造更适合孩子阅读的《史记》！  
少年读徐霞客游记（游中国・地理启蒙，全3册；读万卷书，行万里路！当代著名地质学家、科普作家刘兴诗与古代伟大的旅行家、地理学家徐霞客穿越时空，神奇相遇，趣味解读多姿多彩的中国地理！）,http://img3m5.ddimg.cn/23/29/29122655-1_l_14.jpg,90383.0,100%,刘兴诗,2020-09-01,青岛出版社,¥49.00,¥100.00,4.9折,,http://product.dangdang.com/29122655.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787555287148""]","[[""图书"", ""童书"", ""中国儿童文学"", ""经典名著少儿版""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]",立大志，学地理，知天下！汇集中国地理启蒙、旅行常识、山川河流、岩石洞穴、人文历史，让阅读更丰富，让旅行更精彩，让梦想更美好！  
活着（余华代表作，精装，易烊千玺推荐阅读）,http://img3m3.ddimg.cn/23/25/29311943-1_l_34.jpg,951680.0,100%,余华  著 ，新经典  出品,2021-10-01,北京十月文艺出版社,¥31.00,¥45.00,6.9折,¥8.99,http://product.dangdang.com/29311943.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787530221532""]","[[""图书"", ""小说"", ""社会小说""]]",余华代表作，DU家授权正版。人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着。  
我与地坛（纪念版）,http://img3m1.ddimg.cn/6/9/21055821-1_l_2.jpg,347150.0,99.8%,史铁生,2011-06-01,人民文学出版社,¥15.50,¥29.00,5.3折,¥9.99,http://product.dangdang.com/21055821.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787020084357""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",  
生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随机发货）,http://img3m5.ddimg.cn/37/23/29343835-1_l_18.jpg,411076.0,100%,莫言；读客文化 出品,2022-01-01,浙江文艺出版社,¥34.90,¥69.90,5.0折,¥27.99,http://product.dangdang.com/29343835.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787533966102""]","[[""图书"", ""小说"", ""中国当代小说""]]",不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。收录全新再版序、莫言漫像、莫言题词，了解本书创作背后的故事！梳理人物关系图，清晰呈现主要人物关系！读客熊猫君出品  
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,http://img3m2.ddimg.cn/33/26/28518072-1_l_8.jpg,900622.0,100%,"岸��一郎, 古�R史健",2020-03-05,机械工业出版社,¥37.00,¥55.00,6.7折,¥7.96,http://product.dangdang.com/28518072.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787111495482""]","[[""图书"", ""成功/励志"", ""心灵与修养"", ""心灵/感悟""]]","“自我启发之父”阿德勒的哲学课,蔡康永、张德芬、大张伟、陈文茜、曾宝仪、勇气推荐！日本亚马逊2014年度销售冠军，连续300天雄踞销售榜首！腰封各个印次印刷内容可能有所不同，以实物为准，内文一致  "
十万个为什么 快乐读书吧 四年级下册推荐课外阅读 青少版科普 中小学生课外阅读指导丛书 无障碍阅读 21万读者热评！,http://img3m4.ddimg.cn/87/2/26509614-1_l_32.jpg,247099.0,100%,（苏）米 伊林,2018-10-01,南方出版社,¥10.20,¥22.80,4.5折,,http://product.dangdang.com/26509614.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550146662""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),http://img3m9.ddimg.cn/23/12/25201859-1_l_29.jpg,613248.0,99.9%,渡边淳一著；李迎跃 译;,2018-01-01,青岛出版社,¥16.00,¥32.00,5.0折,¥6.00,http://product.dangdang.com/25201859.html,"[""开 本：大32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787555262800""]","[[""图书"", ""成功/励志"", ""成功/激励"", ""激励""]]",文学大师渡边淳一75载人生智慧，世界狂销600万册。写给易因小事而动摇、敏感、什么都往心里去的人。帮你玩转人际关系，缓解焦虑情绪，排遣工作压力。当当励志榜、人民日报/光明网，多位跨界名人书单。  
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,http://img3m9.ddimg.cn/71/33/28992419-1_l_63.jpg,1389622.0,100%,罗伯特・戴博德，果麦文化 出品,2020-07-01,天津人民出版社,¥19.00,¥38.00,5.0折,¥15.99,http://product.dangdang.com/28992419.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787201161693""]","[[""图书"", ""心理学"", ""心灵疗愈""]]",2021年当当网销量No.1！将心理学知识巧妙融入故事情节，带你亲临心理咨询现场，认识自我，体验疗愈和改变的发生。果麦出品  
骆驼祥子 全本（《语文》推荐阅读丛书）七年级下册推荐阅读 人民文学出版社,http://img3m4.ddimg.cn/39/14/25267314-1_l_8.jpg,221360.0,100%,老舍,2018-04-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25267314.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020137756""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",语文教材配套书目  
梅格时空大冒险・7~14岁儿童文学科幻经典（全5册）银河的裂缝 等5册儿童文学史上家喻户晓、不可逾越的经典,http://img3m4.ddimg.cn/78/32/25099944-1_l_30.jpg,277526.0,99.9%,(美)马德琳・英格 著；读客文化 出品,2017-07-01,文汇出版社,¥108.40,¥216.80,5.0折,¥29.99,http://product.dangdang.com/25099944.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787549621385""]","[[""图书"", ""童书"", ""外国儿童文学"", ""幻想小说""], [""图书"", ""童书"", ""11-14岁"", ""文学""], [""图书"", ""童书"", ""科幻故事""]]",儿童文学史上家喻户晓、不可逾越的经典！纽伯瑞儿童文学金奖、美国国家图书奖作品！被BBC评为100年来10本伟大的童书之一。其中《时间的折皱》被迪士尼拍成同名电影。亲近母语六年级！小读客出品  
钢铁是怎样炼成的(《语文》推荐阅读丛书)人民文学出版社,http://img3m9.ddimg.cn/89/8/25283699-1_l_6.jpg,156361.0,100%,（苏）尼・奥斯特洛夫斯基,2018-06-01,人民文学出版社,¥16.80,¥36.00,4.7折,¥18.00,http://product.dangdang.com/25283699.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020137176""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",语文教材配套书目/版本完善，编校精良，助力成长  
额尔古纳河右岸（茅盾文学奖获奖作品全集28）,http://img3m8.ddimg.cn/5/14/27878108-1_l_2.jpg,155792.0,100%,迟子建,2019-06-01,人民文学出版社,¥19.90,¥32.00,6.2折,,http://product.dangdang.com/27878108.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020139590""]","[[""图书"", ""小说"", ""中国当代小说""]]",第七届茅盾文学奖（2008年）获奖作品，人民文学出版社经典版本  
带壳的牡蛎是大人的心脏（绘签版、签章版随机掉落！全部含作者亲绘贴纸！超人气漫画家拟泥nini首部作品集。阮筠庭、文森特动物园推荐）,http://img3m7.ddimg.cn/47/4/29463437-1_l_32.jpg,30335.0,100%,拟泥nini 著绘  时代华语 出品,2022-09-01,北京联合出版有限公司,¥40.80,¥68.00,6.0折,,http://product.dangdang.com/29463437.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559662170""]","[[""图书"", ""动漫/幽默"", ""大陆漫画"", ""爆笑/生活""]]",白茶暖心推荐！有时候上一秒还是小孩，下一秒就已经是大人了。500万+粉丝在线催更，拟泥nini漫画首次集结！给正在经历阴雨天的大人一个温暖的拥抱。祝你快乐！所谓的大人，不过是柔软牡蛎，披着坚硬的外壳  
俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社,http://img3m5.ddimg.cn/9/33/25267185-1_l_5.jpg,257808.0,100%,冯骥才,2018-04-01,人民文学出版社,¥14.00,¥28.00,5.0折,,http://product.dangdang.com/25267185.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020138104""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""语文阅读""]]",俗世奇人/人民文学出版社2018版/语文教材配套书目/版本完善，编校精良，助力成长  
快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅行记 爱丽丝漫游仙境 推荐阅读套装共4册 中小学生课外阅读无障碍阅读,http://img3m4.ddimg.cn/94/4/25577734-1_l_41.jpg,46856.0,99.9%,马克 吐温，笛福，塞尔玛 拉格洛夫，卡罗尔，,2018-11-01,时代文艺出版社,¥27.70,¥62.20,4.5折,,http://product.dangdang.com/25577734.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：25577734""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",赠品数量有限 先到先得 以实际下单为准 新老版本任意发货  
苏东坡传（林语堂纪念典藏精装版）,http://img3m8.ddimg.cn/40/0/25211578-1_l_26.jpg,879757.0,99.9%,"林语堂 著,博集天卷 出品",2018-01-01,湖南文艺出版社,¥26.00,¥52.00,5.0折,¥12.99,http://product.dangdang.com/25211578.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787540484880""]","[[""图书"", ""传记"", ""历史人物""]]",林语堂完整授权，各版本累计销量超300万册，中国传记文学经典之作。当当网终身五星图书。樊登读书会官方推荐版本。全国名校推荐学生阅读版本。  
尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 130000多名读者热评！,http://img3m6.ddimg.cn/12/7/23379456-1_l_34.jpg,248217.0,99.9%,（瑞典）拉格洛夫,2021-04-01,南方出版社,¥7.30,¥16.80,4.3折,,http://product.dangdang.com/23379456.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550168312""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",  
宝葫芦的秘密(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 160000多名读者热评！,http://img3m3.ddimg.cn/19/12/23298283-1_l_31.jpg,260792.0,99.9%,张天翼著,2021-04-01,南方出版社,¥5.10,¥14.80,3.4折,,http://product.dangdang.com/23298283.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550168022"", ""丛书名：彩插励志版""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",新老版本任意发货  
瓦尔登湖（经典新读 中央编译出版社）,http://img3m3.ddimg.cn/51/18/26916963-1_l_13.jpg,67635.0,100%,（美）梭罗 著，王光林 译 万亭文化 出品,2019-04-01,中央编译出版社,¥11.40,¥26.80,4.3折,,http://product.dangdang.com/26916963.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787511727015""]","[[""图书"", ""小说"", ""世界名著"", ""美洲""]]",“给生活做减法，给思想做加法”，河南大学副教授李安光深度解读；国际插画大师阿纳斯塔西娅·斯蒂夫兰克绘制封面；原版插图&版式疏朗&用纸考究&精美装帧。  
经典常谈（《语文》八年级下推荐阅读，附录《唐诗三百首》全面解读，整本书精编精校多条注释无障碍阅读。）,http://img3m9.ddimg.cn/62/8/29196449-1_l_20.jpg,246.0,100%,朱自清,2021-01-01,作家出版社,¥11.90,¥28.00,4.3折,,http://product.dangdang.com/29196449.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787521211993"", ""丛书名：作家经典文库""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",（《语文》八年级下推荐阅读，朱自清的十三堂国学常识课，解析全书内容，指导阅读方法，示范读后感写作。附录《唐诗三百首》全面解读，整本书精编精校多条注释无障碍阅读。）  
呼兰河传(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 180000多名读者热评！,http://img3m9.ddimg.cn/71/22/23197949-1_l_42.jpg,246468.0,100%,萧红,2021-05-01,南方出版社,¥5.30,¥15.80,3.4折,,http://product.dangdang.com/23197949.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550168299"", ""丛书名：彩插励志版""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",阅读本书培养乐观、坚忍、勤劳的品质！  
红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）,http://img3m1.ddimg.cn/9/22/102771-1_l_8.jpg,674378.0,99.6%,曹雪芹,2013-01-01,人民文学出版社,¥32.20,¥59.70,5.4折,¥36.00,http://product.dangdang.com/102771.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787020002207"", ""丛书名：中国古典文学本丛书""]","[[""图书"", ""小说"", ""四大名著"", ""红楼梦""]]",权威版本！收藏经典！  
