书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,http://img3m1.ddimg.cn/46/7/29460961-1_l_11.jpg,117446.0,99.9%,"卢思浩 著,博集天卷 出品",湖南文艺出版社,¥24.90,¥49.80,5.0折,¥33.99,http://product.dangdang.com/29460961.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,http://img3m3.ddimg.cn/91/10/29474173-1_l_11.jpg,251296.0,100%,房琪kiki,北京联合出版有限公司,¥37.30,¥49.80,7.5折,¥34.86,http://product.dangdang.com/29474173.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""心灵与修养"", ""心灵/感悟""]]}"
人鱼陷落（高人气作者麟潜口碑代表作！）,http://img3m3.ddimg.cn/2/32/29411813-1_l_3.jpg,16449.0,100%,"麟潜 著,博集天卷 出品",湖南文艺出版社,¥26.40,¥52.80,5.0折,,http://product.dangdang.com/29411813.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""青春文学"", ""青春爱情文学""]]}"
长安的荔枝,http://img3m5.ddimg.cn/54/34/29470275-1_l_1.jpg,47609.0,100%,"马伯庸 著,博集天卷 出品",湖南文艺出版社,¥29.00,¥45.00,6.4折,¥26.99,http://product.dangdang.com/29470275.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""历史小说""]]}"
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg,2028604.0,99.8%,刘慈欣,重庆出版社,¥64.10,¥93.00,6.9折,¥39.99,http://product.dangdang.com/23579654.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""中国当代小说""]]}"
我与地坛（纪念版）,http://img3m1.ddimg.cn/6/9/21055821-1_l_2.jpg,347149.0,99.8%,史铁生,人民文学出版社,¥15.50,¥29.00,5.3折,¥9.99,http://product.dangdang.com/21055821.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
活着（余华代表作，精装，易烊千玺推荐阅读）,http://img3m3.ddimg.cn/23/25/29311943-1_l_34.jpg,951680.0,100%,余华  著 ，新经典  出品,北京十月文艺出版社,¥31.00,¥45.00,6.9折,¥8.99,http://product.dangdang.com/29311943.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
额尔古纳河右岸（茅盾文学奖获奖作品全集28）,http://img3m8.ddimg.cn/5/14/27878108-1_l_2.jpg,155792.0,100%,迟子建,人民文学出版社,¥19.90,¥32.00,6.2折,,http://product.dangdang.com/27878108.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),http://img3m9.ddimg.cn/23/12/25201859-1_l_29.jpg,613248.0,99.9%,渡边淳一著；李迎跃 译;,青岛出版社,¥16.00,¥32.00,5.0折,¥6.00,http://product.dangdang.com/25201859.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""激励""]]}"
中国古代文化常识 （插图修订第4版）,http://img3m6.ddimg.cn/51/28/23590266-1_l_32.jpg,156372.0,99.7%,王力 主编   后浪,北京联合出版公司,¥30.00,¥60.00,5.0折,¥12.99,http://product.dangdang.com/23590266.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文化"", ""传统文化"", ""古代礼制与文化""]]}"
